S.no,Name,Party,Constituency
1,Rana Muhammad Hayat Khan (Chairman),PML(N),NA-142
2,Mr. Asad Umar,PTI,NA-48
3,Malik Ibrar Ahmed,PML(N),NA-54
4,Chaudhry Khalid Javaid Warraich,PML(N),NA-92
5,Sardar Muhammad Irfan Dogar,PML(N),NA-134
6,Sardar Mansab Ali Dogar,PML(N),NA-164
7,Dr. Khalid Maqbool Siddiqui,MQM,NA-219
8,Roshan Din Junejo,PPPP,NA-236
9,Syed Ali Raza Abidi,MQM,NA-251
10,Mr. Abdul Hakeem Baloch,PPPP,NA-258
11,Moulvi Agha Muhammad,JUI-F,NA-261
12,Nafeesa Inayatullah Khan Khattak,PTI,(Women)
13,Parveen Masood Bhatti,PML(N),(Women)
14,Mrs. Mahreen Razaque Bhutto,PPPP,(Women)
15,Nighat Parveen,PML(N),(Women)
16,Seema Mohiuddin Jameeli,PML(N),(Women)
17,Shahnaz Saleem Malik,PML(N),(Women)
18,Farhana Qamar,PML(N),(Women)
19,Marriyum Aurangzeb,PML(N),(Women)
