S.no,Name,Party,Constituency
1,Ms. Nuzhat Pathan (Chairperson),PTI,(Women)
2,Dr. Haider Ali Khan,PTI,NA-2
3,Mr. Afreen Khan,MMAP,NA-11
4,Ms. Shaista Pervaiz Malik,PML-N,NA-133
5,Mr. Rai Muhammad Murtaza Iqbal,PTI,NA-149
6,Syed Mustafa Mahmud,PPPP,NA-178
7,Mr. Zulfiqar Bachani,PPPP,NA-224
8,Engr. Sabir Hussain Kaim Khani,MQMP,NA-226
9,Ms. Tahira Aurangzeb,PML-N,(Women)
10,Ms. Rubina Irfan,BAP,(Women)
11,Ms. Aysha Rajab Ali,PML-N,(Women)
12,Ms. Naureen Farooq Ibrahim,PTI,(Women)
13,Ms. Shahida Rehmani,PPPP,(Women)
14,Ms. Zahra Wadood Fatemi,PML-N,(Women)
15,Mr. Kesoo Mal Kheeal Das,PML-N,(Non-Muslim)
16,Ms. Romina Khurshid Alam,PML-N,(Women)
17,Ms. Musarrat Asif Khawaja,PML-N,(Women)
18,Ms. Munaza Hassan,PTI,(Women)
19,Ms. Andleeb Abbas,PTI,(Women)
20,Dr. Seemi Bukhari,PTI,(Women)
21,Ms. Shakila Luqman,PML-N,(Women)
