S.no,Name,Party,Constituency
1,Mr. Aamir Talal Gopang (Chairman),PTI,NA-186
2,Mr. Junaid Akbar,PTI,NA-8
3,Mr. Malik Anwar Taj,PTI,NA-23
4,Dr. Muhammad Afzal Khan Dhandla,PTI,NA-98
5,Chaudhary Khalid Javed,PML-N,NA-111
6,Ch Muhammad Barjees Tahir,PML-N,NA-117
7,Sardar Muhammad Irfan Dogar,PML-N,NA-122
8,Mr. Waheed Alam Khan,PML-N,NA-125
9,Sardar Talib Hassan Nakai,PTI,NA-140
10,Mr. Makhdom Zada Sayed Basit Ahmad Sultan,PTI,NA-185
11,Sardar Riaz Mehmood Khan Mazari,PTI,NA-195
12,Mr. Ghous Bux Khan Mahar,GDA,NA-199
13,Mr. Zulfiqar Ali Behan,PPPP,NA-212
14,Mr. Roshanuddin Junejo,PPPP,NA-217
15,Nawabzada Shazain Bugti,JWP,NA-259
16,Mr. Jai Parkash,PTI,(Non-Muslim)
17,Ms. Shahida Akhtar Ali,MMAP,(Women)
18,Begum Tahira Bukhari,PML-N,(Women)
19,Ms. Asiya Azeem,PTI,(Women)
