S.no,Name,Party,Constituency
1,Mr. Muhammad Abdul Ghafar Wattoo (Chairman),PTI,NA-166
2,Moulana Abdul Akbar Chitrali,MMAP,NA-1
3,Mr. Saleh Muhammad,PTI,NA-13
4,Engr. Usman Khan Tarakai,PTI,NA-19
5,Mr. Imran Khattak,PTI,NA-26
6,Chaudhary Khalid Javed,PML-N,NA-111
7,Mr. Muhammad Riaz,PML-N,NA-123
8,Rana Muhammad Ishaq Khan,PML-N,NA-139
9,Mr. Aamir Talal Gopang,PTI,NA-186
10,Sardar Muhammad Jaffar Khan Leghari,PTI,NA-193
11,Syed Abrar Ali Shah,PPPP,NA-211
12,Syed Ayaz Ali Shah Sheerazi,PPPP,NA-231
13,Mr. Usama Qadri,MQMP,NA-253
14,Mr. Muhammad Aslam Khan,PTI,NA-254
15,Mir Khan Muhammad Jamali,PTI,NA-261
16,Mr. Jai Parkash,PTI,(Non-Muslim)
17,Dr. Darshan,PML-N,(Non-Muslim)
18,Mr. Ramesh Lal,PPPP,(Non-Muslim)
